母券商,買張,賣張,買賣超,均買價,均賣價
X兆豐,1,4,-3,176,175.02
國泰,710,714,-4,178.24,176.05
9A79永豐埔里,7,11,-4,176.48,178.18
9A9r永豐北高,6,10,-4,176.89,173.57
元大四維,6,10,-4,179.13,175.47
Q元大南崁,5,9,-4,176.5,176.39
n國票,4,8,-4,176.11,176.56
j兆豐,3,7,-4,175.17,174.64
元大金華,0,4,-4,175.9,179.71
凱基北門,0,4,-4,,174.02
9A9Q永豐,21,26,-5,179.07,177.67
中信託永,20,25,-5,178.59,175.7
台新左楠,19,24,-5,179.03,175.39
J群益,15,20,-5,176.85,176.45
W群益,10,15,-5,177.15,177.59
9A9B永豐,9,14,-5,177.32,175.18
J凱基土城,2,7,-5,180.79,174.07
A合庫,0,5,-5,178.7,177.51
F兆豐,0,5,-5,177,173.5
P元富同大,19,25,-6,174.68,173
凱基永華,14,20,-6,177.28,176
D臺銀金山,13,19,-6,178.95,178.07
L元富,9,15,-6,179.91,177.41
p元大,9,15,-6,178.6,177.1
9A69永豐,8,14,-6,176.58,176.11
m元大,8,14,-6,175.69,173
f元大東港,6,12,-6,176.44,177.17
F群益,5,11,-6,178.06,175.32
中農,5,11,-6,174,174.41
e國票南科,4,10,-6,178.88,173.8
群益三民,3,9,-6,174.68,178.39
C兆豐來福,2,8,-6,176.98,175.09
d元大,55,62,-7,181.28,173.82
u元富世貿,43,50,-7,178.52,173.89
C凱基,11,18,-7,180.05,177.04
國票,8,15,-7,175.89,175.63
致和,7,14,-7,179.99,176.29
元大經國,5,12,-7,174.95,176.77
D康和,4,11,-7,180.27,173.14
P富邦和美,3,10,-7,175.97,173.57
z國票博愛,3,10,-7,173.98,174.4
H玉山,25,33,-8,180.73,174.11
M玉山數位,8,16,-8,177.21,176.55
L富邦,3,11,-8,181.5,174.8
新光,473,482,-9,178.5,176.72
N元大,28,37,-9,177.1,174.85
I元大蘆中,12,21,-9,175.98,173.85
玉山景美,6,15,-9,175.98,177.37
中信託忠,4,13,-9,179.71,174.76
?亞,1,10,-9,172,185.5
凱基興隆,0,9,-9,,175.15
9A9J永豐板新,30,40,-10,175.1,177.89
D統一新,15,25,-10,174.07,174.76
E統一,4,14,-10,175.12,178.14
大昌,61,72,-11,177.55,178.76
G群益,37,48,-11,177,173.73
9A9g永豐,18,29,-11,174.11,175.82
Z元大,15,26,-11,177.25,177.35
R統一東湖,10,21,-11,175.34,176.69
u元大府城,5,16,-11,175.59,177.17
I第一,1,12,-11,176.04,180.17
9A9S永豐,34,46,-12,178.19,176.78
Q富邦北高,6,18,-12,176.99,178.33
